#X_ITRS,Y_ITRS,Z_ITRS
-2037772.102066629,-4483983.595026606,4041551.746850349
-2035683.1904131414,-4484636.332557499,4041877.987723681
-2035573.4995900583,-4485519.690077209,4040958.917295104
-2036700.6857192635,-4483860.23372907,4042224.2414893107
-2035629.2038801273,-4484688.456923468,4041847.54708451
-2032582.3693267046,-4490345.415845427,4037135.756147488
-2036827.61847983,-4483812.643133178,4042213.157790433
-2038327.6550487555,-4484687.284746883,4040497.6804833296
-2035649.9064117211,-4484602.576742721,4041931.8729034653
-2036591.9118225249,-4486293.474188399,4039595.8032328724
-2035509.3855428593,-4484897.547450468,4041676.9978396217
-2035615.8870027657,-4485776.896721954,4040654.095880433
-2036951.9582486798,-4483747.015936846,4042223.2596914824
-2031988.1494019157,-4486527.980606032,4041642.4151275503
-2036637.758584514,-4483797.718684349,4042324.6795466025
-2038374.6340835553,-4484635.3173464015,4040531.456821609
-2035991.093357651,-4487682.80805053,4038364.756468061
-2036111.3081016857,-4486237.02514966,4039898.690443619
-2036482.7434155836,-4486338.0953113865,4039601.2661823444
-2031650.4258068865,-4481975.614033647,4046830.9811369865
-2037178.2700794972,-4486296.428523061,4039298.94650917
-2037788.6588243938,-4483828.353533177,4041714.6266581733
-2038440.043046803,-4484901.581066452,4040205.1217598324
-2038439.086238635,-4484857.869866323,4040253.797038116
-2037848.3057784892,-4485965.68190751,4039328.1314512813
-2038416.5843230467,-4485092.329160036,4040006.548124796
-2037383.772825624,-4483697.49654929,4042061.6433292083
-2038091.4623757105,-4485738.9060127335,4039456.4231684837
-2036467.0111750686,-4483797.775083042,4042410.113407906
-2038256.6273939796,-4485522.278431973,4039612.576974867
-2036775.7270035348,-4483700.044289021,4042363.292759966
-2030942.5875951964,-4484222.416304162,4044708.0719556934
-2035520.320343756,-4484598.371797637,4042001.3951805905
-2036688.802423811,-4486408.537146523,4039420.4195141373
-2035401.0061740815,-4485599.408367525,4040957.3898091954
-2036824.98301737,-4483672.502487469,4042368.997189285
-2036612.5289960438,-4483721.753435272,4042421.07208295
-2032125.5428806522,-4485270.247018536,4042960.403310339
-2036113.8352853311,-4486325.3593566725,4039800.027301066
-2035776.392515454,-4484215.213260582,4042295.6481426507
-2037718.6212170888,-4486138.954901989,4039202.014978816
-2036307.6394718084,-4486408.6955232555,4039611.0994698587
-2035353.3817974925,-4484805.885839184,4041856.178043028
-2037959.569391487,-4483798.203566211,4041662.2924205516
-2038552.0267567537,-4484796.669895539,4040264.725251089
-2036641.134312599,-4483647.251027776,4042488.895657119
-2038091.51848365,-4483872.751788437,4041514.0260877875
-2037647.3912277988,-4483639.993819237,4041993.048041901
-2035534.01023314,-4486014.809773746,4040432.7688057595
-2035781.3522400518,-4484097.004741297,4042423.5020332867
-2037189.6194434112,-4483545.376511858,4042326.587449693
-2036116.057335728,-4483828.790715682,4042551.643796965
-2037846.4779571476,-4483673.2663293015,4041856.6755932015
-2038122.6833581245,-4491255.5745550385,4033358.0838856203
-2036256.3493831856,-4483735.868973453,4042583.85323205
-2038633.0330753732,-4484723.854242821,4040304.45095415
-2037799.4133849703,-4486206.18890392,4039087.4284585947
-2038098.8911357997,-4485971.031166713,4039196.761105909
-2036134.1398912063,-4486476.905782863,4039622.764599604
-2037641.345513809,-4486305.950661567,4039056.5778365736
-2037164.3698167857,-4483510.515436538,4042377.668351199
-2037299.6358857376,-4486457.157451556,4039060.9561231355
