#RowID_	Lon_Calc	Lat_Calc	Z
440	-114.3794944	39.52953757	1736.669
441	-114.4100818	39.60298035	1737.679
442	-114.4536977	39.59111582	1737.133
443	-114.4498702	39.50891051	1737.369
444	-114.4216214	39.49800496	1737.964
445	-114.3725214	39.56573124	1736.714
446	-114.39282	39.50970746	1737.368
447	-114.4346388	39.60098436	1737.488
448	-114.4404625	39.50256514	1737.693
449	-114.4687762	39.57908474	1737.046
450	-114.3808051	39.58033354	1736.863
451	-114.4053944	39.60077447	1737.547
452	-114.4026997	39.50422167	1737.569
453	-114.4142542	39.50130672	1737.664
454	-114.4276164	39.48854759	1735.104
455	-114.4286251	39.60214837	1737.535
456	-114.4736655	39.56323684	1736.744
457	-114.39424	39.59637927	1737.443
458	-114.4592388	39.51796933	1737.037
459	-114.4434247	39.50220886	1737.796
460	-114.4172747	39.60296603	1737.606
461	-114.4710009	39.54369536	1735.104
462	-114.4695445	39.56719789	1736.609
463	-114.3788846	39.5236191	1736.995
464	-114.4509651	39.48385458	1735.105
465	-114.3851058	39.59270295	1737.487
466	-114.3802059	39.5848868	1737.159
467	-114.4728384	39.53367837	1736.917
468	-114.4845568	39.51662333	1735.105
469	-114.3740388	39.5744715	1736.929
470	-114.4656213	39.58499027	1737.223
471	-114.4324038	39.495961	1738.241
472	-114.461028	39.59124271	1737.439
473	-114.4721012	39.57241652	1736.928
474	-114.4386528	39.49890887	1738.022
475	-114.3988853	39.50393784	1737.691
476	-114.4197986	39.60354257	1737.652
477	-114.4784914	39.54290097	1735.105
478	-114.4150546	39.49869493	1735.105
479	-114.4281201	39.49830459	1737.951
480	-114.4612688	39.59017847	1737.371
481	-114.370871	39.53642998	1736.882
482	-114.3555299	39.52462652	1735.105
483	-114.3775811	39.52776805	1736.847
484	-114.4580872	39.5181523	1735.105
485	-114.4300244	39.60600234	1737.932
486	-114.4555287	39.59518251	1737.522
487	-114.408762	39.54311336	1735.105
488	-114.4347798	39.56554369	1735.105
489	-114.4063355	39.60402621	1737.844
490	-114.4747338	39.54570412	1736.736
491	-114.4238282	39.49461897	1738.331
492	-114.4478715	39.50344055	1737.797
493	-114.3874852	39.51335959	1737.278
494	-114.4535565	39.50675937	1737.68
495	-114.435246	39.6063657	1738.033
496	-114.3668429	39.5576328	1736.914
497	-114.4178015	39.51830178	1735.105
498	-114.3690061	39.56652201	1736.945
499	-114.4371756	39.60637165	1738.063
500	-114.4066228	39.50180819	1737.719
501	-114.4462285	39.60209789	1737.837
502	-114.4704883	39.58188372	1737.293
503	-114.4000513	39.50151778	1737.892
504	-114.3800799	39.59001612	1737.514
505	-114.4768832	39.55487144	1736.832
506	-114.389816	39.59459771	1737.449
507	-114.393275	39.60081939	1737.873
508	-114.3541937	39.52762135	1735.104
509	-114.454931	39.50957821	1737.489
510	-114.4638241	39.58976024	1737.459
511	-114.4689868	39.51748926	1737.54
512	-114.4816499	39.55422562	1737.143
513	-114.377414	39.58418664	1737.256
514	-114.4697307	39.52103221	1737.353
515	-114.4730133	39.52762082	1735.105
516	-114.3653117	39.53924326	1737.151
517	-114.4511124	39.59993856	1737.781
518	-114.4774478	39.54794969	1736.88
519	-114.480462	39.54033022	1737.199
520	-114.3695905	39.58043779	1737.479
521	-114.4792293	39.5468533	1737.006
522	-114.4230633	39.53073198	1735.104
523	-114.3727979	39.57739385	1737.133
524	-114.3686949	39.55571897	1736.78
525	-114.3992539	39.6040754	1738.009
526	-114.417045	39.61029234	1738.378
527	-114.4354539	39.49444925	1738.449
528	-114.364575	39.56838813	1737.284
529	-114.4687472	39.58314058	1737.271
530	-114.4777397	39.53932417	1737.044
531	-114.377681	39.59273126	1737.841
532	-114.3519273	39.54186267	1735.105
533	-114.4101354	39.60844396	1738.244
534	-114.3693798	39.5282458	1737.289
535	-114.3652232	39.54893741	1737.002
536	-114.4927254	39.61137937	1735.105
537	-114.4566418	39.59869477	1737.87
538	-114.3648483	39.55722524	1737.04
539	-114.4759335	39.57083055	1737.098
540	-114.4086433	39.60791089	1738.209
541	-114.419616	39.61531766	1735.104
542	-114.4490518	39.5008877	1738.081
543	-114.4258141	39.49357405	1738.455
544	-114.3913029	39.60246937	1738.099
545	-114.3837036	39.50852346	1737.827
546	-114.480614	39.61310528	1735.104
547	-114.404432	39.60853792	1738.354
548	-114.3849098	39.59437803	1737.629
549	-114.4259425	39.61246406	1738.618
550	-114.4475817	39.60494874	1738.158
551	-114.481795	39.55718521	1737.172
552	-114.3695564	39.58131924	1737.531
553	-114.4563324	39.60376936	1738.339
554	-114.3787695	39.58626032	1737.319
555	-114.3880216	39.59978022	1737.969
556	-114.3736459	39.58435094	1737.47
557	-114.4044804	39.49806764	1738.141
558	-114.4616985	39.59670766	1737.91
559	-114.430777	39.49652917	1738.162
560	-114.4134238	39.49497178	1738.337
561	-114.4390005	39.4956155	1738.381
562	-114.4546185	39.6005393	1737.961
563	-114.3896792	39.50699383	1737.713
564	-114.4672874	39.5912785	1737.744
565	-114.3678286	39.57394015	1737.276
566	-114.4205414	39.61152183	1738.504
567	-114.3635986	39.54678445	1737.13
568	-114.4689869	39.5132791	1737.841
569	-114.4805036	39.56216814	1737.156
570	-114.381334	39.53097073	1735.104
571	-114.4716725	39.51892037	1737.594
572	-114.4750872	39.5229265	1737.552
573	-114.4691433	39.59303405	1737.978
574	-114.3961751	39.60800498	1738.506
