#state,X,Y,Z
LWA066,-2409194.063027752,-4477856.181389979,3839398.4497485394
LWA065,-2409194.1566522783,-4477849.694729414,3839406.2035187916
LWA068,-2409198.7667769096,-4477862.194942144,3839388.4191100853
LWA067,-2409202.3787315693,-4477855.807962694,3839393.6166066625
LWA070,-2409216.908655184,-4477868.009085704,3839370.3591200486
LWA069,-2409204.1128315968,-4477866.281746096,3839380.534174218
LWA097,-2409209.1790216,-4477840.133890875,3839407.817065362
LWA072,-2409223.191056918,-4477880.367615055,3839351.811929685
LWA099,-2409217.7223179284,-4477858.65753923,3839381.197930695
LWA098,-2409215.7873274735,-4477853.011955206,3839389.1591766323
LWA101,-2409222.8030012306,-4477866.64904435,3839367.979835127
LWA100,-2409226.0824545617,-4477859.599105772,3839374.3343981
LWA103,-2409231.021096238,-4477865.6707823,3839364.2055774042
LWA102,-2409232.983791927,-4477861.416212225,3839367.71282375
LWA105,-2409224.5087270504,-4477874.788649258,3839357.5034423973
LWA104,-2409223.3471119497,-4477870.616066368,3839363.1109989393
LWA129,-2409231.9388639536,-4477829.403989302,3839406.2925818604
LWA037,-2409192.214668354,-4477879.362544091,3839372.6474961643
LWA131,-2409227.5833195522,-4477840.544966289,3839396.5304519814
LWA130,-2409222.5225300044,-4477835.087279412,3839405.263861029
LWA134,-2409229.9678296275,-4477847.224539776,3839387.140757972
LWA132,-2409234.828328694,-4477840.6126937615,3839392.0518265855
LWA252,-2409098.6611084985,-4477797.6978077665,3839527.3140812693
LWA139,-2409239.466199348,-4477868.017682198,3839355.9583878247
LWA294,-2409169.2984322584,-4477826.3806421,3839449.0034112697
LWA289,-2409957.5154807027,-4477944.819409659,3838815.492574841
LWA319,-2410168.51121334,-4477080.85813556,3839684.9247065424
LWA299,-2409043.8799341144,-4478243.714566465,3839042.0595484236
LWA078,-2409223.1406473406,-4477897.832285915,3839332.37048338
LWA076,-2409226.5393889523,-4477893.482063735,3839335.0439348365
LWA081,-2409231.048507407,-4477903.930807593,3839320.6240353226
LWA079,-2409230.685386409,-4477896.308582807,3839329.6478120456
LWA108,-2409233.2149354606,-4477884.63742724,3839341.0800285344
LWA107,-2409229.2714205636,-4477879.291467542,3839349.5000539185
LWA110,-2409244.191759017,-4477882.112761949,3839337.3115944103
LWA109,-2409239.944036165,-4477882.10349411,3839339.8873762884
LWA112,-2409241.3564144927,-4477891.177607103,3839328.924192815
LWA111,-2409233.6160731944,-4477887.960362031,3839337.1786358044
LWA114,-2409244.6329135597,-4477894.500860738,3839323.279723322
LWA113,-2409247.667949274,-4477890.999338086,3839325.2957799253
LWA116,-2409246.7411689656,-4477897.316079031,3839318.6215016847
LWA115,-2409250.1208338365,-4477893.4155257335,3839321.000705304
LWA118,-2409247.452598492,-4477902.015542243,3839312.3205049695
LWA117,-2409251.7457956364,-4477897.660718503,3839314.7887731637
LWA120,-2409254.147627109,-4477901.190154306,3839308.740033172
LWA082,-2409230.407808774,-4477909.548694944,3839314.3992703175
LWA143,-2409242.877222036,-4477874.539175794,3839346.343182615
LWA142,-2409243.8670909754,-4477871.033218368,3839349.7878510375
LWA145,-2409248.148117213,-4477877.403529394,3839340.0864007045
LWA144,-2409252.4714143192,-4477870.355046777,3839345.325985005
LWA147,-2409258.595362522,-4477879.920223283,3839330.7414510935
