#state,X,Y,Z
LWA161,-2409249.2106403415,-4477819.009795526,3839407.3205636684
LWA141,-2409253.8161931965,-4477863.82442335,3839352.1526560932
LWA163,-2409257.787030484,-4477832.475545593,3839387.4656775896
LWA162,-2409242.9686308126,-4477835.305477789,3839393.4402131108
LWA165,-2409262.4555436377,-4477844.746790692,3839369.678679932
LWA164,-2409245.7927618604,-4477845.029148728,3839379.721159883
LWA167,-2409262.5382727063,-4477856.893691911,3839355.505423042
LWA166,-2409252.2248078547,-4477856.302011656,3839362.0906369383
LWA193,-2409268.2891703187,-4477816.172929421,3839398.8308559484
LWA226,-2409300.4502456016,-4477820.860952915,3839374.72484034
LWA195,-2409276.489258597,-4477817.622344116,3839392.37100896
LWA194,-2409261.7997014285,-4477823.014319652,3839395.131998648
LWA197,-2409278.143458698,-4477830.783048913,3839376.671852684
LWA196,-2409266.99676357,-4477834.868712291,3839378.6882951437
LWA200,-2409276.6931261006,-4477838.664509839,3839368.1974311722
LWA199,-2409285.9168116474,-4477832.276537443,3839370.1129089254
LWA202,-2409272.2326281075,-4477848.6326900525,3839359.2479153345
LWA201,-2409269.3083066177,-4477844.692264416,3839365.569557071
LWA227,-2409287.395619254,-4477828.705414164,3839373.493480495
LWA225,-2409290.6577346534,-4477814.198764838,3839388.10057447
LWA349,-2409802.519564357,-4477188.322537765,3839795.1941419146
LWA253,-2409241.794458514,-4477718.101585534,3839529.995937562
LWA293,-2409254.5050174994,-4477782.382186868,3839447.0471286164
LWA290,-2409984.3891969398,-4477790.95958452,3838974.9536053115
LWA357,-2409123.6091537434,-4478131.545007789,3839121.6195553397
LWA329,-2408776.492604136,-4477545.3179866,3840021.9028868056
LWA170,-2409274.0552955144,-4477861.379907694,3839343.261548184
LWA234,-2409317.6562309396,-4477846.234958583,3839333.976310864
LWA173,-2409277.4539095717,-4477868.820383214,3839332.473705452
LWA171,-2409264.166046373,-4477868.591333062,3839340.344173098
LWA169,-2409265.174432688,-4477861.0702609075,3839348.941079521
LWA175,-2409273.191803126,-4477872.824605799,3839330.1444335356
LWA204,-2409281.4376288964,-4477851.912301127,3839349.909120439
LWA203,-2409292.9944903348,-4477841.437610425,3839354.9725367203
LWA206,-2409284.762200867,-4477858.24301406,3839340.3539757603
LWA205,-2409293.5077615813,-4477850.782754902,3839343.809753479
LWA208,-2409288.1979788253,-4477861.940873193,3839334.1266748575
LWA207,-2409278.376820537,-4477864.249729983,3839337.193565132
LWA210,-2409288.209706771,-4477868.930412028,3839325.8732050676
LWA209,-2409289.7823608876,-4477864.57090666,3839330.0425992175
LWA228,-2409303.3850437407,-4477828.844014808,3839363.4819973228
LWA230,-2409311.472394846,-4477829.933931647,3839357.029544172
LWA231,-2409317.860017454,-4477831.6295547355,3839350.9183282135
LWA229,-2409301.5045231846,-4477833.689516326,3839358.842416765
LWA233,-2409299.0923592364,-4477850.467097838,3839340.5456822873
LWA232,-2409317.943334855,-4477837.852976492,3839343.7226906475
LWA236,-2409314.224100597,-4477852.139458144,3839328.977850065
LWA235,-2409305.000888485,-4477854.235447535,3839332.183101336
LWA238,-2409303.950138864,-4477861.642122771,3839324.1747619393
LWA237,-2409329.122517148,-4477847.099715517,3839326.091520118
LWA240,-2409335.525438353,-4477852.648415525,3839315.6060109655
LWA239,-2409307.251280094,-4477863.5762965605,3839319.8597646984
LWA297,-2408874.9467591112,-4477343.609829432,3840196.3993950305
LWA254,-2409387.1896552206,-4477704.165867855,3839455.661987692
LWA346,-2409344.2008478665,-4477775.590595933,3839399.766183041
LWA342,-2410092.756447892,-4477657.878872828,3839061.8754442497
LWA356,-2409283.5975206452,-4478150.989470155,3838998.452328411
LWA350,-2409629.855288098,-4477163.419440378,3839933.0216182363
LWA177,-2409277.2300084797,-4477879.421574884,3839320.11684581
LWA247,-2409330.9910896397,-4477873.412248045,3839293.666688396
LWA180,-2409284.618028594,-4477885.231744181,3839308.648301076
LWA179,-2409277.1186700137,-4477884.223214738,3839314.5904196994
LWA183,-2409286.8645790624,-4477896.174563905,3839294.5208699456
LWA176,-2409272.773940065,-4477878.594316916,3839323.5884225126
LWA212,-2409288.794880769,-4477879.4975373205,3839312.9357955763
LWA211,-2409292.3660567054,-4477873.4243283095,3839317.729150855
LWA214,-2409299.557130416,-4477877.746437633,3839308.074237536
LWA213,-2409304.160435404,-4477871.9020369835,3839311.9591461103
LWA243,-2409328.2262354735,-4477861.135493614,3839310.141766372
LWA215,-2409289.229421091,-4477883.858362703,3839307.5632629916
LWA218,-2409293.400177524,-4477893.0860685175,3839294.025109406
LWA217,-2409301.814425912,-4477886.367832742,3839296.381671936
LWA221,-2409313.9117170847,-4477900.499658395,3839272.287033994
LWA219,-2409309.5038877437,-4477885.176639347,3839293.0511856605
LWA241,-2409315.3969926736,-4477864.3082328625,3839314.0169141265
LWA223,-2409323.1938129775,-4477901.558542771,3839265.43957221
LWA244,-2409315.479597502,-4477871.950168624,3839304.9303537277
LWA242,-2409323.780570423,-4477861.449591154,3839312.334222654
LWA246,-2409333.7780012786,-4477864.868160455,3839302.1915139486
LWA245,-2409342.7232851917,-4477859.327987791,3839303.2817594693
LWA249,-2409333.950477775,-4477878.727001993,3839285.6647009817
LWA248,-2409325.514108032,-4477876.407910893,3839293.3953708303
LWA251,-2409328.8726682034,-4477890.7640286395,3839274.4881081707
LWA250,-2409323.228716024,-4477885.359702294,3839284.0524890544
LWA261,-2408862.7136983303,-4477441.636813066,3840089.203987659
LWA256,-2409482.122043315,-4477866.477409825,3839207.1266160873
LWA300,-2408959.3781757695,-4478190.0977668315,3839156.9520206475
LWA264,-2409700.0064315246,-4477063.528379917,3840004.765994548
LWA315,-2410165.2179664634,-4477565.706334833,3839122.001974614
LWA304,-2409391.2740085796,-4477860.491505521,3839271.2893682523
