#station,X,Y,Z
dsa-96,-2404300.4512388376,-4481442.591907958,3838348.775783098
dsa-97,-2404041.3171907533,-4481506.437577849,3838436.334422035
dsa-98,-2403851.8472613744,-4481605.710830827,3838439.426514807
dsa-147,-2403651.2517366935,-4478401.227982839,3842276.8889349983
dsa-148,-2404006.5844768095,-4478314.067593114,3842156.377673095
dsa-149,-2404117.338729824,-4478239.451495424,3842173.7853924497
dsa-150,-2403757.1774850385,-4478672.923661488,3841896.100617532
dsa-151,-2403311.341662825,-4478825.731794542,3841996.9710474885
dsa-152,-2403084.1702403096,-4478863.037355952,3842095.353599702
dsa-153,-2403249.7816537116,-4479276.261773738,3841513.399264768
dsa-154,-2405867.3173752003,-4479141.745871554,3840037.6641456457
dsa-155,-2405853.5275586983,-4479013.4463444995,3840194.895994745
dsa-156,-2405591.508468146,-4478871.001142818,3840523.2430500183
dsa-157,-2405115.0418295534,-4479286.49166716,3840338.8861507247
dsa-158,-2405755.168448212,-4478817.020380475,3840483.767104495
dsa-159,-2404323.047821558,-4479140.711608275,3841001.4428269854
dsa-160,-2404840.275996475,-4479166.5003659,3840649.165483258
dsa-161,-2404846.1915201177,-4478914.748458167,3840937.135373066
dsa-162,-2404996.6014443077,-4479129.233074386,3840594.898600538
dsa-163,-2405266.214455994,-4478869.302949098,3840727.9740321958
dsa-164,-2404953.233884816,-4478831.770861805,3840966.543684317
dsa-165,-2404749.4149306314,-4478796.183942398,3841134.8167694192
dsa-166,-2404349.989052319,-4478918.808730097,3841241.7264779657
dsa-167,-2404192.3358299257,-4478878.001955407,3841387.2706045597
dsa-168,-2403984.3848102586,-4479095.373354473,3841265.0644880775
dsa-169,-2405083.6057497086,-4478649.961621734,3841095.9076324627
dsa-170,-2404915.204811268,-4478631.303531148,3841222.4915911257
dsa-171,-2404262.78783163,-4478741.544127807,3841501.443970805
dsa-172,-2404571.5476394887,-4478492.883572307,3841597.0623470927
dsa-173,-2404482.52335523,-4478422.914186757,3841733.6135855885
dsa-174,-2404086.6036265567,-4478552.315164693,3841830.4875402693
dsa-175,-2403597.606502891,-4478737.406295595,3841920.8612653636
dsa-176,-2403555.6055254377,-4478846.593154236,3841820.547387628
dsa-177,-2403739.3105770433,-4479034.0577652585,3841488.859913111
dsa-178,-2403477.085574555,-4479064.465788831,3841617.083076221
dsa-179,-2403592.1146184793,-4479231.641762848,3841351.7076094425
dsa-180,-2403484.2280182755,-4479396.330429867,3841228.162413474
dsa-181,-2403784.622782395,-4479436.155802602,3840994.7810037844
dsa-182,-2404348.176286762,-4479428.883452927,3840651.9295977335
dsa-183,-2403913.890038012,-4479526.207020823,3840809.8803401454
dsa-184,-2405119.6699049226,-4479280.292157297,3840343.183555707
dsa-185,-2404880.5575736715,-4479295.919284628,3840474.12385367
dsa-186,-2404674.688472094,-4479484.104566395,3840384.4324449436
dsa-187,-2404453.0604821076,-4479335.554622502,3840694.6751593174
dsa-188,-2404212.672318267,-4479351.967842779,3840825.5000177426
dsa-189,-2404693.923892036,-4479535.161297599,3840313.292794496
dsa-190,-2404786.167250177,-4479595.465876612,3840185.931807501
dsa-191,-2405447.9510111623,-4479163.663485744,3840273.673538026
dsa-192,-2405160.999530879,-4479437.914124378,3840134.8151299995
dsa-193,-2405667.616029895,-4479134.892233429,3840170.0828234223
dsa-194,-2404472.7938527,-4479780.373116742,3840167.0480655385
dsa-195,-2404423.9975374145,-4479891.019933447,3840069.278509389
dsa-196,-2405055.4427685095,-4480002.050188362,3839547.0537657486
dsa-197,-2405223.214470622,-4479643.234698479,3839858.169056651
dsa-700,-2410476.649674918,-4478478.024744809,3837933.4838604648
dsa-701,-2410456.307277492,-4478652.911990377,3837743.5550921224
dsa-702,-2410098.522667868,-4478703.102081634,3837908.425135063
dsa-703,-2409763.2317985506,-4478751.024635147,3838061.9012527224
dsa-704,-2409829.910960913,-4478719.981524712,3838056.302285041
dsa-705,-2409445.368069817,-4479048.211725768,3837915.739079182
dsa-706,-2409135.5256390395,-4478998.090776293,3838166.9369791867
dsa-707,-2409300.1866494524,-4478950.915200277,3838118.953188831
dsa-708,-2409209.274330703,-4479008.740397564,3838108.62994414
dsa-709,-2409477.364091812,-4478780.187375515,3838206.304157318
dsa-710,-2409474.622619973,-4479033.818481379,3837914.1787340357
dsa-711,-2409280.741816234,-4479071.138496044,3837991.7936960044
dsa-712,-2408810.5566295767,-4479203.340881406,3838131.713643345
dsa-713,-2408793.1209992035,-4479086.125414885,3838278.3770179036
dsa-714,-2408962.5524197672,-4479214.092500736,3838024.515137849
dsa-715,-2408545.1521488167,-4479149.664114529,3838359.3317478844
dsa-716,-2409265.216272588,-4479306.304588425,3837729.0288014994
dsa-717,-2409013.189685302,-4479301.100257824,3837892.1523254775
dsa-718,-2408725.8890670077,-4479411.1245057415,3837943.769508958
dsa-719,-2408825.660579064,-4479337.836707223,3837966.4841874954
dsa-720,-2408626.932833006,-4479578.947331813,3837811.026844698
dsa-721,-2408621.111232502,-4479454.502440742,3837958.826277002
dsa-722,-2408341.734058378,-4479340.429083818,3838265.1239702078
